entity;three_class;jour;P_f;P_h;P;T_f;T_h;T;pop;P hebdo;T hebdo;incidence hebdo;positivite hebdo;taux de test hebdo
FR;60+;2020-10-01;1168;1031;2201;22150;18565;40766;17857583.105505355;11515.0;251992.0;64.48241025657059;4.56958951077812;1411.1204103668028
FR;whole;2020-10-01;7570;6996;14641;102374;88735;191721;67114995.0;72996.0;1112222.0;108.76257980798479;6.5630782343812655;1657.1885314153715
FR;0-29;2020-10-02;3304;3077;6436;38313;34224;73012;23576479.03461425;31530.0;403116.0;133.73498202894774;7.821569969934212;1709.822740741557
FR;30-59;2020-10-02;3773;3256;7037;45941;38156;84200;25680932.859880406;32963.0;451281.0;128.35592920183936;7.304318152104786;1757.2609315333943
FR;60+;2020-10-02;1481;1234;2723;26266;22290;48616;17857583.105505355;12368.0;253319.0;69.25909249268476;4.8823815031639946;1418.5514271631962
FR;whole;2020-10-02;8560;7569;16203;110570;94730;205949;67114995.0;76908.0;1108372.0;114.59138155340695;6.938825592851497;1651.452108429718
FR;0-29;2020-10-03;1417;1345;2792;16261;15186;31686;23576479.03461425;32245.0;403767.0;136.76766557321346;7.986041454601292;1712.5839672972452
FR;30-59;2020-10-03;1628;1535;3167;18509;16380;34918;25680932.859880406;34168.0;452539.0;133.04812635283344;7.550288483423529;1762.159507480241
FR;60+;2020-10-03;673;583;1260;11827;10593;22448;17857583.105505355;12866.0;255624.0;72.04782373956031;5.033173723906988;1431.4591089383932
FR;whole;2020-10-03;3721;3466;7225;46619;42182;89098;67114995.0;79330.0;1112593.0;118.20011310438151;7.1301904649768595;1657.7413139939888
FR;0-29;2020-10-04;389;334;727;4134;3597;7757;23576479.03461425;32425.0;404104.0;137.53113835358803;8.023924534278306;1714.0133580027243
FR;30-59;2020-10-04;407;412;819;4836;4515;9359;25680932.859880406;34458.0;453110.0;134.1773688207075;7.604775882236102;1764.38294696009
FR;60+;2020-10-04;223;208;432;4113;3802;7924;17857583.105505355;12991.0;256469.0;72.74780648224997;5.065329533003989;1436.1909922789753
FR;whole;2020-10-04;1019;955;1979;13085;11923;25052;67114995.0;79925.0;1114355.0;119.08665120216428;7.17231043967138;1660.366658747423
FR;0-29;2020-10-05;4066;3804;7927;41445;37955;80002;23576479.03461425;34741.0;408414.0;147.354488127741;8.506319567889445;1732.2942895772492
FR;30-59;2020-10-05;5186;4611;9800;53800;44693;98580;25680932.859880406;38346.0;461647.0;149.31700576930902;8.306346624152221;1797.6255088505761
FR;60+;2020-10-05;2010;1692;3708;30880;25775;56732;17857583.105505355;14494.0;260376.0;81.16439898035033;5.5665652748333185;1458.069652884483
FR;whole;2020-10-05;11265;10113;21448;126163;108481;235422;67114995.0;87632.0;1131071.0;130.5699270334446;7.7477010727001225;1685.2731643651318
FR;0-29;2020-10-06;3665;3578;7296;39879;37113;77566;23576479.03461425;36779.0;413492.0;155.99869660775988;8.894730732396274;1753.8327050147052
FR;30-59;2020-10-06;4701;4163;8878;48539;39463;88079;25680932.859880406;41712.0;470027.0;162.42400627573716;8.874383811993779;1830.2567222325927
FR;60+;2020-10-06;1926;1545;3475;26704;21028;47771;17857583.105505355;15946.0;264454.0;89.2953985194333;6.029782117116776;1480.90588988199
FR;whole;2020-10-06;10295;9291;19661;115156;97653;213509;67114995.0;94496.0;1148631.0;140.79714972786633;8.226836991166007;1711.4372130996956
FR;0-29;2020-10-07;4053;3844;7956;41250;38056;79896;23576479.03461425;39110.0;421358.0;165.88566911361073;9.281893306879185;1787.1964655170748
FR;30-59;2020-10-07;4912;4400;9329;47703;39306;87097;25680932.859880406;45482.0;481623.0;177.10415835810028;9.4434858800348;1875.4108451893785
FR;60+;2020-10-07;1826;1599;3431;23550;19199;42789;17857583.105505355;17230.0;267046.0;96.48562125234139;6.452071927682872;1495.4207320344028
