jour;cl_age90;P;T;pop
;;sum;sum;sum
2020-06-29;90;12;2347;912580.6062728533
2020-06-30;0;722;59150;67114995.0
2020-06-30;9;41;5711;7763205.686272893
2020-06-30;19;65;5432;8336486.160537239
2020-06-30;29;113;6970;7476787.1878041085
2020-06-30;39;150;8025;8295371.931939545
2020-06-30;49;109;7257;8592886.15993014
2020-06-30;59;82;6927;8792674.76801071
2020-06-30;69;51;6565;8004082.760304243
2020-06-30;79;40;5611;5695639.130797295
2020-06-30;89;34;4519;3245280.6081309738
2020-06-30;90;15;2061;912580.6062728533
2020-07-01;0;630;56958;67114995.0
2020-07-01;9;52;5688;7763205.686272893
2020-07-01;19;56;5597;8336486.160537239
2020-07-01;29;121;6970;7476787.1878041085
2020-07-01;39;106;8117;8295371.931939545
2020-07-01;49;97;7139;8592886.15993014
2020-07-01;59;86;6749;8792674.76801071
2020-07-01;69;53;6018;8004082.760304243
2020-07-01;79;16;5077;5695639.130797295
2020-07-01;89;25;3830;3245280.6081309738
2020-07-01;90;9;1740;912580.6062728533
2020-07-02;0;591;54535;67114995.0
2020-07-02;9;34;5810;7763205.686272893
2020-07-02;19;70;5059;8336486.160537239
2020-07-02;29;107;6770;7476787.1878041085
2020-07-02;39;105;7822;8295371.931939545
2020-07-02;49;89;6996;8592886.15993014
2020-07-02;59;72;6410;8792674.76801071
2020-07-02;69;55;5757;8004082.760304243
2020-07-02;79;25;4748;5695639.130797295
2020-07-02;89;23;3557;3245280.6081309738
2020-07-02;90;6;1573;912580.6062728533
2020-07-03;0;737;63882;67114995.0
2020-07-03;9;46;6756;7763205.686272893
2020-07-03;19;90;5826;8336486.160537239
2020-07-03;29;127;7660;7476787.1878041085
2020-07-03;39;120;8553;8295371.931939545
2020-07-03;49;103;7951;8592886.15993014
2020-07-03;59;67;7615;8792674.76801071
2020-07-03;69;65;6971;8004082.760304243
2020-07-03;79;32;6150;5695639.130797295
2020-07-03;89;39;4333;3245280.6081309738
2020-07-03;90;40;2040;912580.6062728533
2020-07-04;0;349;28962;67114995.0
2020-07-04;9;19;3185;7763205.686272893
2020-07-04;19;40;2567;8336486.160537239
2020-07-04;29;62;3226;7476787.1878041085
2020-07-04;39;60;3849;8295371.931939545
2020-07-04;49;48;3470;8592886.15993014
2020-07-04;59;47;3426;8792674.76801071
2020-07-04;69;27;3363;8004082.760304243
2020-07-04;79;26;2867;5695639.130797295
2020-07-04;89;13;2131;3245280.6081309738
2020-07-04;90;6;869;912580.6062728533
2020-07-05;0;103;8490;67114995.0
2020-07-05;9;4;737;7763205.686272893
2020-07-05;19;4;494;8336486.160537239
2020-07-05;29;16;747;7476787.1878041085
2020-07-05;39;22;956;8295371.931939545
2020-07-05;49;17;802;8592886.15993014
2020-07-05;59;14;916;8792674.76801071
2020-07-05;69;14;1074;8004082.760304243
2020-07-05;79;4;1107;5695639.130797295
2020-07-05;89;7;1171;3245280.6081309738
2020-07-05;90;1;486;912580.6062728533
2020-07-06;0;676;66609;67114995.0
2020-07-06;9;49;6260;7763205.686272893
2020-07-06;19;87;6068;8336486.160537239
2020-07-06;29;102;7914;7476787.1878041085
2020-07-06;39;113;9569;8295371.931939545
2020-07-06;49;100;8412;8592886.15993014
2020-07-06;59;84;7955;8792674.76801071
2020-07-06;69;62;7585;8004082.760304243
2020-07-06;79;44;6390;5695639.130797295
2020-07-06;89;22;4524;3245280.6081309738
2020-07-06;90;13;1908;912580.6062728533
2020-07-07;0;571;65930;67114995.0
2020-07-07;9;26;6625;7763205.686272893
2020-07-07;19;59;5569;8336486.160537239
2020-07-07;29;119;8284;7476787.1878041085
2020-07-07;39;106;10119;8295371.931939545
2020-07-07;49;75;8153;8592886.15993014
2020-07-07;59;65;7666;8792674.76801071
2020-07-07;69;58;7085;8004082.760304243
2020-07-07;79;35;5876;5695639.130797295
2020-07-07;89;15;4385;3245280.6081309738
2020-07-07;90;9;2133;912580.6062728533
2020-07-08;0;700;64753;67114995.0
2020-07-08;9;41;5728;7763205.686272893
2020-07-08;19;82;5792;8336486.160537239
2020-07-08;29;141;8487;7476787.1878041085
2020-07-08;39;112;10597;8295371.931939545
2020-07-08;49;114;8525;8592886.15993014
2020-07-08;59;96;7780;8792674.76801071
2020-07-08;69;56;6910;8004082.760304243
2020-07-08;79;28;5208;5695639.130797295
2020-07-08;89;19;3922;3245280.6081309738
2020-07-08;90;11;1768;912580.6062728533
2020-07-09;0;701;68392;67114995.0
2020-07-09;9;51;6110;7763205.686272893
2020-07-09;19;74;5800;8336486.160537239
2020-07-09;29;140;9006;7476787.1878041085
2020-07-09;39;120;11301;8295371.931939545
2020-07-09;49;103;9017;8592886.15993014
2020-07-09;59;88;8258;8792674.76801071
