reg;jour;three_class;P;T;pop
;;;sum;sum;sum
Auvergne-Rhône-Alpes;2020-07-28;20-59;70;5614;3980515.0
Auvergne-Rhône-Alpes;2020-07-28;60+;17;2820;2111609.0
Auvergne-Rhône-Alpes;2020-07-28;whole;103;9928;8032377.0
Auvergne-Rhône-Alpes;2020-07-29;0-19;28;1672;1940253.0
Auvergne-Rhône-Alpes;2020-07-29;20-59;85;5857;3980515.0
Auvergne-Rhône-Alpes;2020-07-29;60+;14;2499;2111609.0
Auvergne-Rhône-Alpes;2020-07-29;whole;128;10032;8032377.0
Auvergne-Rhône-Alpes;2020-07-30;0-19;34;1554;1940253.0
Auvergne-Rhône-Alpes;2020-07-30;20-59;95;5967;3980515.0
Auvergne-Rhône-Alpes;2020-07-30;60+;11;2255;2111609.0
Auvergne-Rhône-Alpes;2020-07-30;whole;140;9777;8032377.0
Auvergne-Rhône-Alpes;2020-07-31;0-19;16;1824;1940253.0
Auvergne-Rhône-Alpes;2020-07-31;20-59;88;6141;3980515.0
Auvergne-Rhône-Alpes;2020-07-31;60+;14;2504;2111609.0
Auvergne-Rhône-Alpes;2020-07-31;whole;118;10469;8032377.0
Auvergne-Rhône-Alpes;2020-08-01;0-19;14;781;1940253.0
Auvergne-Rhône-Alpes;2020-08-01;20-59;37;2823;3980515.0
Auvergne-Rhône-Alpes;2020-08-01;60+;8;1198;2111609.0
Auvergne-Rhône-Alpes;2020-08-01;whole;59;4802;8032377.0
Auvergne-Rhône-Alpes;2020-08-02;0-19;0;152;1940253.0
Auvergne-Rhône-Alpes;2020-08-02;20-59;7;651;3980515.0
Auvergne-Rhône-Alpes;2020-08-02;60+;5;496;2111609.0
Auvergne-Rhône-Alpes;2020-08-02;whole;12;1299;8032377.0
Auvergne-Rhône-Alpes;2020-08-03;0-19;30;1627;1940253.0
Auvergne-Rhône-Alpes;2020-08-03;20-59;97;6061;3980515.0
Auvergne-Rhône-Alpes;2020-08-03;60+;18;2706;2111609.0
Auvergne-Rhône-Alpes;2020-08-03;whole;145;10395;8032377.0
Auvergne-Rhône-Alpes;2020-08-04;0-19;20;1569;1940253.0
Auvergne-Rhône-Alpes;2020-08-04;20-59;98;5819;3980515.0
Auvergne-Rhône-Alpes;2020-08-04;60+;29;2655;2111609.0
Auvergne-Rhône-Alpes;2020-08-04;whole;147;10047;8032377.0
Auvergne-Rhône-Alpes;2020-08-05;0-19;32;1504;1940253.0
Auvergne-Rhône-Alpes;2020-08-05;20-59;105;6072;3980515.0
Auvergne-Rhône-Alpes;2020-08-05;60+;11;2303;2111609.0
Auvergne-Rhône-Alpes;2020-08-05;whole;148;9881;8032377.0
Auvergne-Rhône-Alpes;2020-08-06;0-19;18;1563;1940253.0
Auvergne-Rhône-Alpes;2020-08-06;20-59;90;6279;3980515.0
Auvergne-Rhône-Alpes;2020-08-06;60+;16;2132;2111609.0
Auvergne-Rhône-Alpes;2020-08-06;whole;124;9976;8032377.0
Auvergne-Rhône-Alpes;2020-08-07;0-19;20;1498;1940253.0
Auvergne-Rhône-Alpes;2020-08-07;20-59;107;6317;3980515.0
Auvergne-Rhône-Alpes;2020-08-07;60+;34;2485;2111609.0
Auvergne-Rhône-Alpes;2020-08-07;whole;161;10303;8032377.0
Auvergne-Rhône-Alpes;2020-08-08;0-19;13;745;1940253.0
Auvergne-Rhône-Alpes;2020-08-08;20-59;54;2928;3980515.0
Auvergne-Rhône-Alpes;2020-08-08;60+;10;1224;2111609.0
Auvergne-Rhône-Alpes;2020-08-08;whole;77;4897;8032377.0
Auvergne-Rhône-Alpes;2020-08-09;0-19;4;187;1940253.0
Auvergne-Rhône-Alpes;2020-08-09;20-59;12;718;3980515.0
Auvergne-Rhône-Alpes;2020-08-09;60+;3;491;2111609.0
Auvergne-Rhône-Alpes;2020-08-09;whole;19;1397;8032377.0
Auvergne-Rhône-Alpes;2020-08-10;0-19;34;1603;1940253.0
Auvergne-Rhône-Alpes;2020-08-10;20-59;147;6356;3980515.0
Auvergne-Rhône-Alpes;2020-08-10;60+;29;2665;2111609.0
Auvergne-Rhône-Alpes;2020-08-10;whole;210;10625;8032377.0
Auvergne-Rhône-Alpes;2020-08-11;0-19;27;1347;1940253.0
Auvergne-Rhône-Alpes;2020-08-11;20-59;128;5797;3980515.0
Auvergne-Rhône-Alpes;2020-08-11;60+;39;2569;2111609.0
Auvergne-Rhône-Alpes;2020-08-11;whole;194;9716;8032377.0
Auvergne-Rhône-Alpes;2020-08-12;0-19;38;1500;1940253.0
Auvergne-Rhône-Alpes;2020-08-12;20-59;161;6171;3980515.0
Auvergne-Rhône-Alpes;2020-08-12;60+;25;2243;2111609.0
Auvergne-Rhône-Alpes;2020-08-12;whole;224;9915;8032377.0
Auvergne-Rhône-Alpes;2020-08-13;0-19;39;1707;1940253.0
Auvergne-Rhône-Alpes;2020-08-13;20-59;190;7021;3980515.0
Auvergne-Rhône-Alpes;2020-08-13;60+;30;2451;2111609.0
Auvergne-Rhône-Alpes;2020-08-13;whole;259;11180;8032377.0
