reg;jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
Nouvelle-Aquitaine;2020-09-18;0-19;177;4790;1293321.0;13.685697518249532;3.6951983298538624;68.5058079162095
Nouvelle-Aquitaine;2020-09-18;20-59;525;10283;2836500.0;18.508725542041248;5.105513955071477;107.06857042129384
Nouvelle-Aquitaine;2020-09-18;60+;138;3807;1870161.0;7.379043836332809;3.6249014972419227;47.749899607573894
Nouvelle-Aquitaine;2020-09-18;whole;841;18892;5999982.0;14.016708716792817;4.451619733220411;80.33357433405635
Nouvelle-Aquitaine;2020-09-19;0-19;86;1746;1293321.0;6.649547946720111;4.925544100801833;71.3666599397984
Nouvelle-Aquitaine;2020-09-19;20-59;232;3931;2836500.0;8.179093953816322;5.901806156194352;109.46589106292966
Nouvelle-Aquitaine;2020-09-19;60+;54;1506;1870161.0;2.887451935956316;3.5856573705179287;48.39155559334197
Nouvelle-Aquitaine;2020-09-19;whole;372;7184;5999982.0;6.200018600055801;5.178173719376392;82.28358018407388
Nouvelle-Aquitaine;2020-09-20;0-19;16;388;1293321.0;1.237125199389788;4.123711340206185;70.20685506537048
Nouvelle-Aquitaine;2020-09-20;20-59;69;1085;2836500.0;2.4325753569539925;6.3594470046082945;108.61977789529348
Nouvelle-Aquitaine;2020-09-20;60+;18;573;1870161.0;0.9624839786521053;3.1413612565445024;48.391555593341955
Nouvelle-Aquitaine;2020-09-20;whole;103;2046;5999982.0;1.7166718166821167;5.034213098729228;81.63357823406804
Nouvelle-Aquitaine;2020-09-21;0-19;207;3812;1293321.0;16.005307267105383;5.430220356768101;71.75326156460771
Nouvelle-Aquitaine;2020-09-21;20-59;553;10583;2836500.0;19.495857570950115;5.2253614287064165;106.39873083024852
Nouvelle-Aquitaine;2020-09-21;60+;139;4095;1870161.0;7.432515168480147;3.3943833943833943;45.98534564671169
Nouvelle-Aquitaine;2020-09-21;whole;899;18494;5999982.0;14.983378283468182;4.861036011679463;80.15024045072136
Nouvelle-Aquitaine;2020-09-22;0-19;144;3382;1293321.0;11.134126794508092;4.257835600236547;70.7480973401035
Nouvelle-Aquitaine;2020-09-22;20-59;486;9439;2836500.0;17.13379164463247;5.148850513825617;103.29631588224923
Nouvelle-Aquitaine;2020-09-22;60+;140;3265;1870161.0;7.485986500627486;4.287901990811639;45.18327566450161
Nouvelle-Aquitaine;2020-09-22;whole;772;16092;5999982.0;12.866705266782468;4.7974148645289585;78.23356803403743
