reg;jour;cl_age90;P;T;pop
;;;sum;sum;sum
Auvergne-Rhône-Alpes;2020-06-15;79;1;584;687362.0
Auvergne-Rhône-Alpes;2020-06-15;89;4;473;387722.0
Auvergne-Rhône-Alpes;2020-06-15;90;1;224;109865.0
Auvergne-Rhône-Alpes;2020-06-16;0;29;4311;8032377.0
Auvergne-Rhône-Alpes;2020-06-16;9;3;236;940637.0
Auvergne-Rhône-Alpes;2020-06-16;19;3;315;999616.0
Auvergne-Rhône-Alpes;2020-06-16;29;4;504;894918.0
Auvergne-Rhône-Alpes;2020-06-16;39;7;544;1005784.0
Auvergne-Rhône-Alpes;2020-06-16;49;4;499;1035354.0
Auvergne-Rhône-Alpes;2020-06-16;59;2;522;1044459.0
Auvergne-Rhône-Alpes;2020-06-16;69;1;530;926660.0
Auvergne-Rhône-Alpes;2020-06-16;79;1;519;687362.0
Auvergne-Rhône-Alpes;2020-06-16;89;1;434;387722.0
Auvergne-Rhône-Alpes;2020-06-16;90;3;207;109865.0
Auvergne-Rhône-Alpes;2020-06-17;0;41;4050;8032377.0
Auvergne-Rhône-Alpes;2020-06-17;9;7;250;940637.0
Auvergne-Rhône-Alpes;2020-06-17;19;3;286;999616.0
Auvergne-Rhône-Alpes;2020-06-17;29;9;530;894918.0
Auvergne-Rhône-Alpes;2020-06-17;39;6;478;1005784.0
Auvergne-Rhône-Alpes;2020-06-17;49;8;431;1035354.0
Auvergne-Rhône-Alpes;2020-06-17;59;3;525;1044459.0
Auvergne-Rhône-Alpes;2020-06-17;69;0;471;926660.0
Auvergne-Rhône-Alpes;2020-06-17;79;1;460;687362.0
Auvergne-Rhône-Alpes;2020-06-17;89;2;417;387722.0
Auvergne-Rhône-Alpes;2020-06-17;90;2;201;109865.0
Auvergne-Rhône-Alpes;2020-06-18;0;37;3634;8032377.0
Auvergne-Rhône-Alpes;2020-06-18;9;3;274;940637.0
Auvergne-Rhône-Alpes;2020-06-18;19;5;265;999616.0
Auvergne-Rhône-Alpes;2020-06-18;29;5;441;894918.0
Auvergne-Rhône-Alpes;2020-06-18;39;6;482;1005784.0
