jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
2020-08-02;whole;247;16447;67114995.0;0.36802505907956934;1.50179364017754;12.59331092850413
2020-08-03;0-19;338;15921;16099691.846810132;2.099419064762837;2.1229822247346273;8.987749664827884
2020-08-03;20-59;1399;66367;33157720.0476845;4.219228577803546;2.10797534919463;18.867400988376687
2020-08-03;60+;267;29973;17857583.105505366;1.4951631383850918;0.8908017215493944;7.369418315036633
2020-08-03;whole;2009;112347;67114995.0;2.993369812513582;1.7882097430282962;13.475379086298076
2020-08-04;0-19;282;14001;16099691.846810132;1.751586320305089;2.014141847010928;9.552977874571726
2020-08-04;20-59;1427;63105;33157720.0476845;4.303673467137712;2.2613105142223278;20.32105944048627
2020-08-04;60+;294;28743;17857583.105505366;1.6463594108060564;1.0228577392756497;7.789407960650423
2020-08-04;whole;2008;105916;67114995.0;2.9918798325173084;1.895841987990483;14.436416183894522
2020-08-05;0-19;261;13720;16099691.846810132;1.6211490411334333;1.9023323615160352;9.789007236882341
2020-08-05;20-59;1427;65186;33157720.0476845;4.303673467137712;2.189120363268186;21.5786851137844
2020-08-05;60+;265;26809;17857583.105505366;1.4839634145020575;0.988474019918684;7.979803266662008
2020-08-05;whole;1955;105778;67114995.0;2.9129108927148097;1.8482104029193216;15.159056482087198
2020-08-06;0-19;313;14379;16099691.846810132;1.9441365895584852;2.1767855900966686;10.149262579356437
2020-08-06;20-59;1504;68289;33157720.0476845;4.535896912806671;2.202404486813396;22.914723898607107
2020-08-06;60+;323;26264;17857583.105505366;1.8087554071100553;1.2298202863234846;8.528589736930693
2020-08-06;whole;2149;108992;67114995.0;3.20196701199188;1.9717043452730474;16.061984359828976
2020-08-07;0-19;353;14544;16099691.846810132;2.1925885498854485;2.427117711771177;10.584053509928623
2020-08-07;20-59;1614;68239;33157720.0476845;4.867644692333755;2.3652163718694585;24.35330290619273
2020-08-07;60+;310;28311;17857583.105505366;1.7359572018703318;1.0949807495319839;9.122175102731516
2020-08-07;whole;2279;111154;67114995.0;3.3956644115074432;2.0503085808877772;17.03792125738816
2020-08-08;0-19;140;6927;16099691.846810132;0.8695818611443704;2.02107694528656;10.633743901994015
2020-08-08;20-59;677;29605;33157720.0476845;2.0417567885439603;2.2867758824522886;24.78759090848273
2020-08-08;60+;167;12786;17857583.105505366;0.9351769442333722;1.3061160644454872;9.37416889009979
2020-08-08;whole;984;49335;67114995.0;1.466140316333183;1.9945272119185162;17.329957336657777
2020-08-09;0-19;57;2336;16099691.846810132;0.3540440434659222;2.440068493150685;10.832505470255585
2020-08-09;20-59;260;9500;33157720.0476845;0.7841311152458342;2.736842105263158;25.05600502100919
2020-08-09;60+;93;5013;17857583.105505366;0.5207871605610994;1.8551765409934171;9.626162677468065
2020-08-09;whole;410;16858;67114995.0;0.6108917984721596;2.432079724759758;17.572824076050367
2020-08-10;0-19;404;16010;16099691.846810132;2.509364799302326;2.523422860712055;11.242451204795074
2020-08-10;20-59;2017;69821;33157720.0476845;6.083047920964797;2.8888156858251817;26.919824364170445
2020-08-10;60+;349;29754;17857583.105505366;1.9543518175895025;1.1729515359279425;10.085351356672476
2020-08-10;whole;2772;115666;67114995.0;4.1302245496703085;2.3965555997440906;18.70967881320709
2020-08-11;0-19;397;13856;16099691.846810132;2.4658857062451074;2.8651847575057734;11.956750590735092
2020-08-11;20-59;1888;63824;33157720.0476845;5.693998252246672;2.9581348708949613;28.310149149279404
2020-08-11;60+;352;27499;17857583.105505366;1.9711514034140538;1.280046547147169;10.410143349280471
2020-08-11;whole;2640;105236;67114995.0;3.9335471901621983;2.508647230985594;19.651346170851983
2020-08-12;0-19;403;15000;16099691.846810132;2.5031535002941516;2.6866666666666665;12.838755049895811
2020-08-12;20-59;2109;68617;33157720.0476845;6.360509700205632;3.0735823483976277;30.366985382347323
2020-08-12;60+;350;26364;17857583.105505366;1.9599516795310192;1.3275678956152328;10.886131614309434
2020-08-12;whole;2864;110031;67114995.0;4.267302709327476;2.602902818296662;21.00573798746465
2020-08-13;0-19;525;16515;16099691.846810132;3.260931979291389;3.178928247048138;14.155550439628716
2020-08-13;20-59;2560;75024;33157720.0476845;7.720675596266674;3.4122414160801875;33.551764065807326
2020-08-13;60+;399;27819;17857583.105505366;2.2343449146653622;1.4342715410331068;11.31172112186474
2020-08-13;whole;3487;119418;67114995.0;5.195560247005903;2.9199953105896936;22.99933122247867
2020-08-14;0-19;581;17655;16099691.846810132;3.608764723749137;3.2908524497309544;15.571726613492402
2020-08-14;20-59;2760;81075;33157720.0476845;8.323853377225008;3.404255319148936;37.00797275069858
2020-08-14;60+;479;32296;17857583.105505366;2.682333869986738;1.4831558087688879;12.258097789981148
2020-08-14;whole;3820;131082;67114995.0;5.691723585764999;2.9142063746357243;25.295390396736224
2020-08-15;0-19;86;3467;16099691.846810132;0.5341717147029703;2.480530718200173;15.236316467051005
2020-08-15;20-59;516;14944;33157720.0476845;1.5561986748725016;3.45289079229122;36.522414637027126
2020-08-15;60+;127;7700;17857583.105505366;0.7111824665726841;1.6493506493506493;12.03410331232046
2020-08-15;whole;731;26131;67114995.0;1.0891753772759725;2.7974436493054227;24.918425457679014
2020-08-16;0-19;88;2953;16099691.846810132;0.5465943127193186;2.9800203183203524;15.4288667363044
2020-08-16;20-59;473;12769;33157720.0476845;1.4265154519664598;3.7042838123580544;37.16479897374775
2020-08-16;60+;109;5918;17857583.105505366;0.6103849516253746;1.8418384589388308;12.123701103384734
2020-08-16;whole;670;21646;67114995.0;0.9982865975032853;3.0952600942437405;25.30582025671014
2020-08-17;0-19;683;21185;16099691.846810132;4.2423172225828925;3.22397923058768;17.161819159584965
2020-08-17;20-59;3714;95059;33157720.0476845;11.20101139239626;3.907047202263857;42.2827624451792
2020-08-17;60+;553;35923;17857583.105505366;3.096723653659011;1.5394037246332433;13.266072939454242
2020-08-17;whole;4952;152234;67114995.0;7.378380941546669;3.252887002903425;28.5539766485865
2020-08-18;0-19;601;18880;16099691.846810132;3.732990703912618;3.183262711864407;18.428924157252478
2020-08-18;20-59;3580;90472;33157720.0476845;10.796882279154177;3.957025378017508;47.385646472086705
2020-08-18;60+;511;34205;17857583.105505366;2.8615294521152883;1.4939336354334163;14.156450988155477
2020-08-18;whole;4694;143619;67114995.0;6.993966102508091;3.2683697839422363;31.614395560932394
2020-08-19;0-19;626;18468;16099691.846810132;3.8882731791169705;3.389646956898419;19.814043836075296
2020-08-19;20-59;3636;91946;33157720.0476845;10.96577205782251;3.9544950296913406;51.99090882970359
2020-08-19;60+;537;32713;17857583.105505366;3.0071258625947355;1.6415492311924924;15.203625171219194
2020-08-19;whole;4802;143189;67114995.0;7.154883942105634;3.3536095649805504;34.501976793710554
2020-08-20;0-19;764;19727;16099691.846810132;4.745432442244993;3.8728646018147717;21.2985442990289
2020-08-20;20-59;3746;98295;33157720.0476845;11.297519837349594;3.810977160588026;55.56775307078651
2020-08-20;60+;553;33730;17857583.105505366;3.096723653659011;1.6394900681885562;16.066003910212842
2020-08-20;whole;5064;151831;67114995.0;7.545258701129309;3.3352872601774344;36.85167524783396
