jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc;taux hosp;taux rea
2020-05-03;20-59;4182;1140;0.0;0.0;0.0;19937;975;12.612447417976869;3.4381133564068938
2020-05-03;60+;21240;2545;0.0;0.0;0.0;29525;14486;118.94106834054753;14.251648725362216
2020-05-03;whole;25739;3762;0.0;0.0;0.0;50776;15564;38.35059512408516;5.605304745981133
2020-05-04;0-19;145;45;0.0;0.0;0.0;937;5;0.9006384035569378;0.2795084700693945
2020-05-04;20-59;4143;1114;0.0;0.0;0.0;20084;991;12.494827750520844;3.359700244769544
2020-05-04;60+;21023;2451;0.0;0.0;0.0;29955;14714;117.72589829205889;13.725261699749623
2020-05-04;whole;25472;3639;0.0;0.0;0.0;51363;15807;37.95277046508012;5.422037206439485
2020-05-05;0-19;143;41;0.0;0.0;0.0;954;5;0.888215804887187;0.25466327272989275
2020-05-05;20-59;3979;1044;0.0;0.0;0.0;20386;1001;12.000221969423713;3.1485880211305237
2020-05-05;60+;20413;2263;0.0;0.0;0.0;30994;14938;114.30998248755165;12.67248764852444
2020-05-05;whole;24701;3375;0.0;0.0;0.0;52728;16041;36.80399588795321;5.028682487423265
2020-05-06;0-19;138;35;0.0;0.0;0.0;970;5;0.8571593082128098;0.2173954767206402
2020-05-06;20-59;3850;956;0.0;0.0;0.0;20676;1015;11.61117230014609;2.883189797127185
2020-05-06;60+;19767;2080;0.0;0.0;0.0;31914;15103;110.69247165195871;11.647712907172265
2020-05-06;whole;23912;3095;0.0;0.0;0.0;53963;16218;35.62840167089337;4.611488088466668
2020-05-07;0-19;135;37;0.0;0.0;0.0;927;5;0.8385254102081836;0.229818075390391
2020-05-07;20-59;3665;884;0.0;0.0;0.0;20929;1032;11.053232851957251;2.6660457956699073
2020-05-07;60+;19186;1967;0.0;0.0;0.0;32755;15233;107.43895184471494;11.014928504042233
2020-05-07;whole;23139;2911;0.0;0.0;0.0;55018;16367;34.47664713377391;4.337331769152333
2020-05-08;0-19;135;33;0.0;0.0;0.0;940;5;0.8385254102081836;0.2049728780508893
2020-05-08;20-59;3581;854;0.0;0.0;0.0;21087;1041;10.799898183590427;2.5755691283960416
2020-05-08;60+;18780;1911;0.0;0.0;0.0;33335;15334;105.1654078830265;10.701336233464517
2020-05-08;whole;22657;2820;0.0;0.0;0.0;55773;16478;33.758476775570045;4.201743589491439
2020-05-09;0-19;134;32;0.0;0.0;0.0;944;6;0.8323141108733081;0.19876157871601388
