jour;cl_age90;P;T;pop;incidence;positivite;incidence hebdo
2020-08-20;79;135;9699;5695639.130797295;2.37023443550052;1.3918960717599753;13.32598471514737
2020-08-20;89;70;6440;3245280.6081309738;2.1569783464830947;1.0869565217391304;12.787800197006918
2020-08-20;90;34;3125;912580.6062728532;3.725698285312269;1.088;19.724285039888482
2020-08-21;0;5058;162307;67114995.0;7.536318821151666;3.1163166098812747;38.69627048322062
2020-08-21;9;148;5129;7763205.686272893;1.906428941612323;2.8855527393254046;10.08603960325979
2020-08-21;19;626;15782;8336486.160537239;7.509158990310827;3.966544164237739;34.055115612607736
2020-08-21;29;1685;32991;7476787.1878041085;22.536417817916725;5.107453547937316;116.76138133555668
2020-08-21;39;941;26252;8295371.931939545;11.343674614237392;3.584488800853268;57.140295081280804
2020-08-21;49;602;22955;8592886.15993014;7.005795128617114;2.6225223262905684;37.77543353403846
2020-08-21;59;516;21635;8792674.76801071;5.868521395529132;2.385024266235267;30.627767670852624
2020-08-21;69;291;15597;8004082.760304243;3.6356445668352735;1.865743412194653;19.814887570449294
2020-08-21;79;134;11248;5695639.130797295;2.3526771433857014;1.1913229018492175;12.781708659587991
2020-08-21;89;74;7233;3245280.6081309738;2.2802342519964145;1.023088621595465;12.94187007889857
2020-08-21;90;34;3347;912580.6062728532;3.725698285312269;1.0158350761876307;20.710499291882908
2020-08-22;0;2172;68177;67114995.0;3.2362365519061727;3.1858251316426363;40.843331657850825
2020-08-22;9;63;2462;7763205.686272893;0.811520427848489;2.5588952071486597;10.691459604988028
2020-08-22;19;254;7164;8336486.160537239;3.046847258049441;3.545505304299274;36.262280555446694
2020-08-22;29;779;13336;7476787.1878041085;10.418913638075448;5.84133173365327;124.07735792095755
2020-08-22;39;341;10654;8295371.931939545;4.110725869771467;3.2006758025154873;59.7079918855662
2020-08-22;49;268;9594;8592886.15993014;3.1188589609126027;2.7934125495101108;39.83527695225313
2020-08-22;59;222;8922;8792674.76801071;2.524828972495092;2.488231338264963;32.41334491716672
2020-08-22;69;115;6442;8004082.760304243;1.4367667532166888;1.7851598882334678;20.726922118143364
2020-08-22;79;71;4755;5695639.130797295;1.2465677401521253;1.4931650893796005;13.255755546688095
2020-08-22;89;43;3321;3245280.6081309738;1.3250009842681867;1.2947907256850346;13.465707677330178
2020-08-22;90;14;1460;912580.6062728532;1.534111058657993;0.9589041095890412;20.60091993055019
2020-08-23;0;947;22448;67114995.0;1.4110110564710612;4.218638631503921;41.256056116818606
2020-08-23;9;19;851;7763205.686272893;0.24474425601779823;2.2326674500587544;10.601290668560416
2020-08-23;19;95;2290;8336486.160537239;1.1395688563570745;4.148471615720524;36.65813078976021
2020-08-23;29;349;4817;7476787.1878041085;4.667780307687203;7.245173344405231;125.9096957494766
2020-08-23;39;183;3440;8295371.931939545;2.2060493670621066;5.319767441860465;60.527726076605674
2020-08-23;49;110;2910;8592886.15993014;1.280128677986516;3.7800687285223367;40.1378528215954
2020-08-23;59;63;2518;8792674.76801071;0.7165055192215801;2.5019857029388404;32.424718020646424
2020-08-23;69;66;1945;8004082.760304243;0.8245791801069692;3.3933161953727504;20.976794596963657
2020-08-23;79;38;1545;5695639.130797295;0.6671771003631094;2.459546925566343;13.466443052065918
2020-08-23;89;16;1457;3245280.6081309738;0.4930236220532788;1.0981468771448182;13.311637795438529
2020-08-23;90;8;669;912580.6062728532;0.8766348906617103;1.195814648729447;19.72428503988848
2020-08-24;0;6885;184511;67114995.0;10.258512274343461;3.731484843722054;44.13618744961539
2020-08-24;9;196;5802;7763205.686272893;2.5247302199730766;3.378145467080317;11.271117053451235
2020-08-24;19;765;18469;8336486.160537239;9.176528159085915;4.142075910985977;39.369105121725454
2020-08-24;29;2310;36958;7476787.1878041085;30.89562323999266;6.250338221765247;135.23188163617567
2020-08-24;39;1209;30058;8295371.931939545;14.574391720098838;4.022223700845033;63.674058780448355
2020-08-24;49;907;26813;8592886.15993014;10.555242826670638;3.382687502330959;43.21016164876304
2020-08-24;59;751;25254;8792674.76801071;8.541200713260423;2.973786330878277;35.165635959255965
2020-08-24;69;385;17669;8004082.760304243;4.810045217290654;2.1789574961797498;21.83885464889367
2020-08-24;79;218;12048;5695639.130797295;3.8274896810304693;1.809428950863214;15.02904205028478
2020-08-24;89;110;7714;3245280.6081309738;3.3895374016162916;1.4259787399533315;14.236057086788426
2020-08-24;90;31;3642;912580.6062728532;3.3969602013141276;0.8511806699615596;20.053023123886625
2020-08-25;0;6714;175269;67114995.0;10.003725694980682;3.8306831213734314;47.14594704208799
2020-08-25;9;190;5322;7763205.686272893;2.4474425601779823;3.5700864336715523;12.005349821504629
2020-08-25;19;832;17217;8336486.160537239;9.9802240893588;4.8324330603473316;43.73545316081993
2020-08-25;29;2251;36105;7476787.1878041085;30.106514248148695;6.234593546600194;144.1929498486411
2020-08-25;39;1170;28603;8295371.931939545;14.10425005170855;4.090480019578366;67.16998400694021
2020-08-25;49;815;24744;8592886.15993014;9.48458975053646;3.2937277723892664;45.43293053508508
2020-08-25;59;700;23477;8792674.76801071;7.961172435795334;2.981641606678877;37.49712217259603
2020-08-25;69;420;16991;8004082.760304243;5.247322055226168;2.471896886587017;23.62544287245877
2020-08-25;79;197;11838;5695639.130797295;3.4587865466192778;1.664132454806555;16.293167082551722
2020-08-25;89;97;7410;3245280.6081309738;2.9889557086980028;1.3090418353576248;15.006406496246672
2020-08-25;90;32;3413;912580.6062728532;3.506539562646841;0.9375915616759449;19.505126317223056
2020-08-26;0;6568;179372;67114995.0;9.786188615524743;3.661664027830431;49.77725171550709
2020-08-26;9;193;5473;7763205.686272893;2.4860863900755295;3.5264023387538828;12.713820036292992
2020-08-26;19;725;17357;8336486.160537239;8.696709693251359;4.17698911102149;46.57837757088968
2020-08-26;29;2278;37611;7476787.1878041085;30.467631922382374;6.056738720055304;152.33815961191186
2020-08-26;39;1201;29507;8295371.931939545;14.477952403505958;4.070220625614261;71.49769833904566
2020-08-26;49;779;25289;8592886.15993014;9.065638546831781;3.0803906836964687;47.45786135299102
2020-08-26;59;644;24048;8792674.76801071;7.324278640931707;2.677977378576181;38.907387004079766
2020-08-26;69;407;17128;8004082.760304243;5.084904943992977;2.376226062587576;24.96226063414734
2020-08-26;79;173;11647;5695639.130797295;3.0374115358636296;1.4853610371769554;16.96034418291483
2020-08-26;89;100;7414;3245280.6081309738;3.081397637832992;1.3487995683841383;15.715127952948261
2020-08-26;90;49;3681;912580.6062728532;5.369388705302976;1.3311600108666122;22.135030989208182
2020-08-27;0;7289;191974;67114995.0;10.860464192837979;3.796868325919135;53.092457207215766
2020-08-27;9;242;5827;7763205.686272893;3.1172689450687985;4.153080487386305;13.538221740773999
2020-08-27;19;857;18299;8336486.160537239;10.280110630505398;4.683316028198262;49.829147676918815
2020-08-27;29;2539;40413;7476787.1878041085;33.95843610664129;6.282631826392497;163.0513172808444
2020-08-27;39;1346;31962;8295371.931939545;16.22591501675189;4.211250860396721;77.04295904313621
2020-08-27;49;850;27768;8592886.15993014;9.891903420804898;3.0610774992797465;50.40215731236
2020-08-27;59;693;26202;8792674.76801071;7.881560711437381;2.644836272040302;40.818068388670646
2020-08-27;69;393;17958;8004082.760304243;4.909994208818771;2.1884396926161043;25.949256925487504
2020-08-27;79;196;11887;5695639.130797295;3.4412292545044587;1.648860099268108;18.03133900191877
2020-08-27;89;118;7721;3245280.6081309738;3.636049212642931;1.5282994430773216;17.1941988191081
2020-08-27;90;51;3861;912580.6062728532;5.588547427968403;1.320901320901321;23.99788013186432
2020-08-28;0;7490;198185;67114995.0;11.159950172088966;3.7792971213764917;56.71608855815306
2020-08-28;9;279;6604;7763205.686272893;3.5938761804718795;4.2247122955784375;15.225668979633552
2020-08-28;19;929;19671;8336486.160537239;11.143783869007601;4.7226882212393875;53.463772555615584
2020-08-28;29;2349;39771;7476787.1878041085;31.4172376583302;5.906313645621181;171.93213712125785
2020-08-28;39;1361;32329;8295371.931939545;16.40673873536354;4.209842556218875;82.10602316426235
2020-08-28;49;922;28279;8592886.15993014;10.729805828214253;3.2603698857809684;54.12616801195715
2020-08-28;59;759;27362;8792674.76801071;8.632185541098085;2.7739200350851543;43.581732534239606
2020-08-28;69;453;19040;8004082.760304243;5.659611645279652;2.379201680672269;27.973224003931882
2020-08-28;79;259;13324;5695639.130797295;4.5473386577380355;1.9438607024917443;20.226000516271107
2020-08-28;89;109;8173;3245280.6081309738;3.358723425237962;1.333659610913985;18.272687992349645
2020-08-28;90;62;3527;912580.6062728532;6.793920402628255;1.7578678763821944;27.066102249180307
2020-08-29;0;2927;82871;67114995.0;4.36117144909271;3.5319955110955576;57.841023455339595
2020-08-29;9;93;3299;7763205.686272893;1.1979587268239598;2.8190360715368294;15.612107278609022
2020-08-29;19;367;8461;8336486.160537239;4.402334424032066;4.33754875310247;54.819259721598215
2020-08-29;29;946;16380;7476787.1878041085;12.652493326854136;5.775335775335775;174.16571681003657
2020-08-29;39;528;13046;8295371.931939545;6.364994895130013;4.0472175379426645;84.36029218962089
2020-08-29;49;310;11465;8592886.15993014;3.6076353652347266;2.703881378107283;54.61494441627927
2020-08-29;59;327;11096;8792674.76801071;3.719004837864392;2.9470079307858685;44.775908399608895
2020-08-29;69;182;8059;8004082.760304243;2.273839557264673;2.2583447077801218;28.810296807979867
2020-08-29;79;99;5750;5695639.130797295;1.738171919367048;1.7217391304347827;20.717604695486028
2020-08-29;89;51;3692;3245280.6081309738;1.5715127952948262;1.38136511375948;18.519199803376285
2020-08-29;90;22;1595;912580.6062728532;2.410745949319703;1.3793103448275863;27.94273713984202
2020-08-30;0;1217;26344;67114995.0;1.8133056554649225;4.619647737625265;58.243318054333464
2020-08-30;9;43;1193;7763205.686272893;0.5538948951981749;3.604358759430008;15.9212579177894
2020-08-30;19;142;2718;8336486.160537239;1.7033555537126797;5.224429727740986;55.383046418953825
